"source","kind","text","target","expected_start","expected_end","actual_anchor_matches","verdict"
"14","doi_label","DOI: 10.1613/jair.1.15320","https://doi.org/10.1613/jair.1.15320","92391","92416","1","ok"
"14","url","https://arxiv.org/abs/2307.13565","https://arxiv.org/abs/2307.13565","92437","92469","1","ok"
"15","doi_label","DOI: 10.1016/j.ijforecast.2022.03.001","https://doi.org/10.1016/j.ijforecast.2022.03.001","92594","92631","1","ok"
"15","url","https://arxiv.org/abs/2104.05522","https://arxiv.org/abs/2104.05522","92633","92665","1","ok"
"16","doi_label","DOI: 10.48550/arXiv.1912.09363","https://doi.org/10.48550/arXiv.1912.09363","92768","92798","1","ok"
"16","url","https://arxiv.org/abs/1912.09363","https://arxiv.org/abs/1912.09363","92800","92832","1","ok"
"17","doi_label","DOI: 10.3390/en10020207","https://doi.org/10.3390/en10020207","92949","92972","1","ok"
"17","url","https://doi.org/10.3390/en10020207","https://doi.org/10.3390/en10020207","92974","93008","1","ok"
"18","doi_label","DOI: 10.3390/en12060999","https://doi.org/10.3390/en12060999","93134","93157","1","ok"
"18","url","https://doi.org/10.3390/en12060999","https://doi.org/10.3390/en12060999","93159","93193","1","ok"
"19","doi_label","DOI: 10.1016/j.est.2024.112380","https://doi.org/10.1016/j.est.2024.112380","93435","93465","1","ok"
"19","url","https://doi.org/10.1016/j.est.2024.112380","https://doi.org/10.1016/j.est.2024.112380","93467","93508","1","ok"
