source_model_name,evaluation_window_index,training_window_indices,architecture,objective_kind,seed,tenant_id,anchor_timestamp,regret_uah,raw_regret_uah,realized_value_uah,forecast_mae_uah_mwh,safety_violation_count,v2_plus_regret_uah,dfl_minus_v2_plus_regret_uah
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_004_kharkiv_hospital,2026-03-13T23:00:00.000000,381.0772419722516,620.3770971843915,5036.679795227611,1646.428989058701,0,367.75549766363656,13.321744308615052
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_005_odesa_hotel,2026-03-13T23:00:00.000000,358.3747092390147,378.79058643301914,1978.1979476160461,1729.9804501605784,0,164.4690647338607,193.905644505154
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_001_kyiv_mall,2026-03-14T23:00:00.000000,1113.659120966448,1345.1343975538366,2507.5364379513253,2993.122212065383,0,935.3263967351195,178.33272423132848
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_002_lviv_office,2026-03-14T23:00:00.000000,1486.6262542156242,1622.5539647554165,278.82605714580257,3700.904004172331,0,456.6739670665727,1029.9522871490515
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_003_dnipro_factory,2026-03-14T23:00:00.000000,1682.0757545753522,2565.510687037345,4649.08253653364,2993.18171458733,0,1667.448648024978,14.627106550374265
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_004_kharkiv_hospital,2026-03-14T23:00:00.000000,1236.9739324829561,1454.7323227110878,4238.414376562328,3054.897371451429,0,1232.3939558120865,4.579976670869655
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_005_odesa_hotel,2026-03-14T23:00:00.000000,1127.8247380829096,905.4489912989002,1038.8140494964966,3108.444002503723,0,609.6089810005035,518.2157570824061
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_001_kyiv_mall,2026-03-15T23:00:00.000000,740.3322163486187,254.95975076301966,3717.535071479658,1572.7684982667474,0,83.72105593678134,656.6111604118373
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_002_lviv_office,2026-03-15T23:00:00.000000,2536.006938387556,2188.5931053925005,-400.6543032632334,4008.1314107607664,0,46.492159755172,2489.514778632384
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_003_dnipro_factory,2026-03-15T23:00:00.000000,1360.8506685821312,461.1132480448814,6559.5692890775335,1506.25716643022,0,155.32989206783714,1205.520776514294
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_004_kharkiv_hospital,2026-03-15T23:00:00.000000,973.0774414503721,178.54164262292943,5327.196583291205,1599.1875745580267,0,89.77561738334771,883.3018240670244
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_005_odesa_hotel,2026-03-15T23:00:00.000000,479.74883910116387,244.92694401339486,2310.6880436268298,1660.2081917076957,0,70.23886726026694,409.5099718408969
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_001_kyiv_mall,2026-03-16T23:00:00.000000,1083.0408424528973,1036.2930742926023,3744.8894090813933,1636.1173916092198,0,965.0059936927878,118.03484876010953
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_002_lviv_office,2026-03-16T23:00:00.000000,2042.6090321247252,2077.1197166447864,241.62791041956243,3577.1072430640625,0,463.38317839205524,1579.22585373267
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_003_dnipro_factory,2026-03-16T23:00:00.000000,1343.8066580453697,1875.4789096036338,7219.71628164987,1716.580153767772,0,1750.3776197413308,-406.57096169596116
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_004_kharkiv_hospital,2026-03-16T23:00:00.000000,837.3733050774381,1139.3618966161075,6041.644947689291,1717.4861593664236,0,1172.7386580626253,-335.3653529851872
nbeatsx_official_global_panel_v1,3,4,mlp,forecast_loss,2026,client_005_odesa_hotel,2026-03-16T23:00:00.000000,441.1552131787839,686.6650070663472,2522.7066720506755,1705.6284875920146,0,651.0769712287133,-209.9217580499294
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-02-27T23:00:00.000000,1668.2787574941108,2479.290294677954,2637.5085429315272,4804.013895776078,0,1023.8668132880748,644.411944206036
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-02-27T23:00:00.000000,889.6565011559676,1452.8932921824792,1194.1146687012617,5174.648891041475,0,501.4406032365541,388.21589791941346
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-02-27T23:00:00.000000,3342.419069892332,5047.366451530392,4211.223339450866,4877.796454404013,0,1828.3336235986962,1514.0854462936359
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-02-27T23:00:00.000000,2177.218033966752,4234.980438139199,4466.311669861922,4833.924681609061,0,1590.7695823187842,586.4484516479679
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-02-27T23:00:00.000000,978.2601834934574,1371.868004827853,1612.8021435853773,4728.8948452458,0,668.5875216688071,309.6726618246503
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-02-28T23:00:00.000000,744.1613903636364,1076.8652499955733,1265.3300703018654,5706.0589839182385,0,1243.7178595527178,-499.5564691890813
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-02-28T23:00:00.000000,373.98639372708726,508.75916382381666,593.3242356805608,5988.953117413047,0,686.0918500162592,-312.1054562891719
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-02-28T23:00:00.000000,1211.4351143752424,1771.994145119575,2317.878617413202,5754.322271734777,0,2220.924711704961,-1009.4895973297184
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-02-28T23:00:00.000000,1090.0165958259056,1515.221516731283,1956.7459006867487,5928.237713659402,0,1776.9422594715563,-686.9256636456507
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-02-28T23:00:00.000000,498.6477670253847,677.2654316560133,709.3140485804071,5615.330245251296,0,914.789148272479,-416.1413812470943
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-01T23:00:00.000000,482.37349954895717,537.8053304784839,3158.6759625723403,2191.112489870081,0,261.424785837296,220.94871371166118
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-03-01T23:00:00.000000,235.12754368856304,273.2910957812396,1537.899928927384,2167.481957262168,0,133.26807941466882,101.85946427389422
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-03-01T23:00:00.000000,1671.9719107089868,898.753987924244,4764.3017761740875,2019.3919742887683,0,406.30779813450226,1265.6641125744845
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-03-01T23:00:00.000000,540.6456351760726,358.2590339763419,4806.99723644034,1867.7833934978285,0,185.44848228370483,355.19715289236774
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-03-01T23:00:00.000000,300.95968442518756,368.4687141409927,1970.2216017225312,2073.7248385308776,0,182.81334268735054,118.14634173783702
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-02T23:00:00.000000,551.5647597894013,394.10867649479474,1083.5874711698943,3989.974736787993,0,182.26531233831543,369.2994474510858
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-03-02T23:00:00.000000,284.2720614454951,217.62816457469353,504.07394592208885,3763.8544558549374,0,106.40345980196923,177.8686016435259
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-03-02T23:00:00.000000,1041.9179942180006,706.6831658611604,1836.677407329117,3959.1702439086966,0,326.9682548010296,714.9497394169709
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-03-02T23:00:00.000000,864.7327518993279,576.4455456993085,1617.7614514496986,4060.5136683718815,0,283.60262676457023,581.1301251347577
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-03-02T23:00:00.000000,451.93227118645825,279.44665069276095,541.7431486424491,3857.6104617285223,0,132.83536081167517,319.0969103747831
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_001_kyiv_mall,2026-03-03T23:00:00.000000,874.5491325131225,383.39445312495445,2267.3493346763757,2562.573717923387,0,108.19090134516682,766.3582311679556
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_002_lviv_office,2026-03-03T23:00:00.000000,378.8249771415112,137.70191325070823,1135.8354697950797,2647.468236683818,0,88.15797537436015,290.6670017671511
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_003_dnipro_factory,2026-03-03T23:00:00.000000,702.2501656930281,718.6991727820277,4860.728906362853,2440.6390221423026,0,191.95690222582743,510.29326346720063
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_004_kharkiv_hospital,2026-03-03T23:00:00.000000,1062.484922265664,429.8776953342358,3511.287551520433,2526.0519118398133,0,218.49212591655214,843.9927963491118
nbeatsx_official_global_panel_v1,3,4,transformer,decision_focused,7,client_005_odesa_hotel,2026-03-03T23:00:00.000000,424.6134668650027,213.31302669941715,1529.0859849582241,2085.670983967297,0,90.41309869817496,334.20036816682773
