source_model_name,evaluation_window_index,training_window_indices,architecture,objective_kind,seed,fit_anchor_count,inner_validation_anchor_count,evaluation_profile_row_count,evaluation_date_count,checkpoint_epoch,inner_validation_loss,training_solver_status,mean_regret_uah,median_regret_uah,raw_mean_regret_uah,mean_dfl_minus_raw_regret_uah,v2_plus_mean_regret_uah,mean_dfl_minus_v2_plus_regret_uah,mean_date_cluster_delta_uah,forecast_mae_uah_mwh,tail_loss_count,safety_violation_count,content_overlap_count,promotable_v13_permitted_training_rows,promotion_gate_passed,market_execution_enabled,claim_scope,profile_aware_decision_loss,training_battery_contract_kind,training_terminal_soc_equality,training_quadratic_regularization
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,mlp,decision_focused,2026,12,6,90,18,1,-0.9574421124876632,cvxpylayer_scaled_strictly_convex,846.8111707879896,685.5817755506536,878.2166211375693,-31.405450349579723,393.26770932452314,453.5434614634665,453.5434614634665,2883.506749586929,58,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,mlp,forecast_loss,7,12,6,90,18,6,18.572399444825333,not_used_for_forecast_loss,1013.9485747491431,903.1486256442874,878.2166211375693,135.73195361157377,393.26770932452314,620.6808654246199,620.6808654246199,2877.665092752666,65,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,mlp,forecast_loss,42,12,6,90,18,6,17.976698982402084,not_used_for_forecast_loss,745.463361824782,531.7606537583845,878.2166211375693,-132.75325931278724,393.26770932452314,352.1956525002589,352.1956525002589,2882.538244781262,48,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,mlp,forecast_loss,2026,12,6,90,18,6,17.675670830759664,not_used_for_forecast_loss,782.8759735337683,549.1471097709361,878.2166211375693,-95.34064760380102,393.26770932452314,389.6082642092452,389.6082642092452,2872.2022562689986,53,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,transformer,decision_focused,7,12,6,90,18,4,-1.3141790488992608,cvxpylayer_scaled_strictly_convex,791.9491263055168,581.3701399935667,878.2166211375693,-86.26749483205253,393.26770932452314,398.68141698099356,398.68141698099356,2822.981611333065,53,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,transformer,decision_focused,42,12,6,90,18,1,-1.285419895734805,cvxpylayer_scaled_strictly_convex,832.0092064392039,652.7643232426708,878.2166211375693,-46.20741469836537,393.26770932452314,438.74149711468084,438.74149711468084,2858.40642857767,53,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,transformer,decision_focused,2026,12,6,90,18,2,-1.2844716610398714,cvxpylayer_scaled_strictly_convex,901.4447530242853,725.87535823605,878.2166211375693,23.228131886716028,393.26770932452314,508.1770436997622,508.1770436997622,2861.4111373288465,62,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,transformer,forecast_loss,7,12,6,90,18,3,17.84059525630606,not_used_for_forecast_loss,803.1758696399496,581.3701386929292,878.2166211375693,-75.04075149761968,393.26770932452314,409.90816031542647,409.90816031542647,2742.547470459594,55,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,transformer,forecast_loss,42,12,6,90,18,3,17.17324284386739,not_used_for_forecast_loss,799.642736683757,588.5387147425706,878.2166211375693,-78.5738844538123,393.26770932452314,406.37502735923385,406.37502735923385,2897.2527159391047,57,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_horizon_calibrated_v1,3,4,transformer,forecast_loss,2026,12,6,90,18,2,17.189427421632487,not_used_for_forecast_loss,901.4447532921868,725.8753582529439,878.2166211375693,23.22813215461747,393.26770932452314,508.1770439676636,508.1770439676636,2861.3866922203397,62,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_v1,1,"4,3,2",mlp,decision_focused,7,36,18,90,18,6,-2.2725812094389948,cvxpylayer_scaled_strictly_convex,816.6768782257772,400.3822447458808,771.2554242876997,45.421453938077434,193.35903850044008,623.3178397253371,623.3178397253371,2217.4211502843923,65,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_v1,1,"4,3,2",mlp,decision_focused,42,36,18,90,18,6,-2.29240590263744,cvxpylayer_scaled_strictly_convex,993.3829671991951,540.1746982604195,771.2554242876997,222.12754291149542,193.35903850044008,800.0239286987551,800.0239286987551,2083.546128832461,77,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_v1,1,"4,3,2",mlp,decision_focused,2026,36,18,90,18,1,-2.2945631405897484,cvxpylayer_scaled_strictly_convex,703.3450747229238,325.5123333699063,771.2554242876997,-67.91034956477597,193.35903850044008,509.9860362224837,509.9860362224837,2278.679487656964,56,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_v1,1,"4,3,2",mlp,forecast_loss,7,36,18,90,18,6,6.158467878897934,not_used_for_forecast_loss,714.5286239713324,362.2949673778339,771.2554242876997,-56.7268003163673,193.35903850044008,521.1695854708923,521.1695854708923,1957.3448184757767,54,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_v1,1,"4,3,2",mlp,forecast_loss,42,36,18,90,18,6,6.150816172555303,not_used_for_forecast_loss,810.1108256999933,466.2013233979551,771.2554242876997,38.85540141229353,193.35903850044008,616.7517871995532,616.7517871995532,2003.3352691593177,74,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_v1,1,"4,3,2",mlp,forecast_loss,2026,36,18,90,18,6,6.2343344274417545,not_used_for_forecast_loss,775.8197597027856,425.4234226664936,771.2554242876997,4.564335415085907,193.35903850044008,582.4607212023456,582.4607212023456,2038.0785373959227,68,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,false,not_applicable_forecast_loss,false,0.0
nbeatsx_official_global_panel_v1,1,"4,3,2",transformer,decision_focused,7,36,18,90,18,1,-2.2617180524168474,cvxpylayer_scaled_strictly_convex,664.8802106979629,361.91442840071113,771.2554242876997,-106.37521358973686,193.35903850044008,471.52117219752273,471.52117219752273,2088.112978568619,55,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
nbeatsx_official_global_panel_v1,1,"4,3,2",transformer,decision_focused,42,36,18,90,18,1,-2.187229945463345,cvxpylayer_scaled_strictly_convex,963.9250453286788,605.8615136154517,771.2554242876997,192.6696210409791,193.35903850044008,770.5660068282388,770.5660068282388,2602.671936709382,79,0,0,0,false,false,differentiable_forecast_storage_research_shadow_not_full_predict_then_bid,true,tenant_registry_profile_specific,true,0.001
